,weather,base,dt,timezone,id,name,cod,Lon,Lat,main.temp,main.feels_like,main.temp_min,Max Temp,main.pressure,Humidity,main.sea_level,main.grnd_level,Wind Speed,wind.deg,Cloud Cover,sys.country,sys.sunrise,sys.sunset,message,visibility,sys.type,sys.id,wind.gust,rain.1h,snow.1h
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,1588884774.0,-14400.0,5122534.0,Jamestown,200,-79.24,42.1,55.4,36.63,55.4,55.4,1006.0,37.0,,,26.4,280.0,40.0,US,1588845866.0,1588897351.0,,16093.0,1.0,4588.0,42.5,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885212.0,28800.0,2070998.0,Geraldton,200,114.6,-28.77,55.4,53.82,55.4,55.4,1020.0,93.0,,,4.7,140.0,75.0,AU,1588891982.0,1588930988.0,,10000.0,1.0,9522.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885099.0,-21600.0,6185377.0,Yellowknife,200,-114.35,62.46,45.37,34.02,44.01,46.4,1029.0,70.0,,,14.99,310.0,90.0,CA,1588849236.0,1588910833.0,,24140.0,1.0,1007.0,21.92,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885502.0,43200.0,4031637.0,Lavrentiya,200,-171.0,65.58,27.55,22.24,27.55,27.55,1025.0,96.0,1025.0,1023.0,1.81,86.0,33.0,RU,1588947286.0,1589012769.0,,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885205.0,43200.0,2206939.0,Bluff,200,168.33,-46.6,51.01,41.65,51.01,51.01,1016.0,76.0,1016.0,1011.0,14.03,243.0,88.0,NZ,1588881224.0,1588915957.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885502.0,-36000.0,5855927.0,Hilo,200,-155.09,19.73,77.5,77.4,73.99,80.6,1019.0,61.0,,,8.05,10.0,1.0,US,1588866472.0,1588913151.0,,16093.0,1.0,7881.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885502.0,36000.0,2132606.0,Samarai,200,150.67,-10.62,79.29,78.1,79.29,79.29,1012.0,79.0,1012.0,1012.0,17.69,132.0,54.0,PG,1588881810.0,1588923847.0,,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885503.0,10800.0,259718.0,Kissamos,200,23.66,35.49,61.65,60.91,59.0,64.0,1014.0,82.0,,,4.7,40.0,75.0,GR,1588908388.0,1588958233.0,,10000.0,1.0,6643.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885314.0,-14400.0,5106841.0,Albany,200,-73.97,42.6,63.32,56.77,62.01,64.99,1001.0,15.0,,,1.99,266.0,58.0,US,1588844529.0,1588896158.0,,,3.0,19530.0,5.01,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885207.0,32400.0,2017155.0,Saskylakh,200,114.08,71.92,1.33,-8.46,1.33,1.33,1026.0,93.0,1026.0,1025.0,6.17,351.0,94.0,RU,1588870056.0,1588953164.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885222.0,-10800.0,3466704.0,Castro,200,-50.01,-24.79,52.97,49.32,52.97,52.97,1021.0,71.0,1021.0,907.0,3.96,192.0,0.0,BR,1588844707.0,1588884479.0,,,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885504.0,28800.0,2075265.0,Busselton,200,115.33,-33.65,49.39,42.98,48.99,50.0,1013.0,98.0,,,10.98,179.0,35.0,AU,1588892296.0,1588930325.0,,,3.0,2011706.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885232.0,-25200.0,6113365.0,Prince George,200,-122.75,53.92,56.88,52.09,53.6,59.0,1030.0,54.0,,,4.7,340.0,75.0,CA,1588854090.0,1588910011.0,,14484.0,1.0,980.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,1588885504.0,-21600.0,6170031.0,Tuktoyaktuk,200,-133.04,69.45,15.8,3.11,15.8,15.8,1038.0,92.0,,,12.75,120.0,90.0,CA,1588848659.0,1588920380.0,,4828.0,1.0,942.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885504.0,-14400.0,5129832.0,Oneida,200,-75.47,43.2,55.8,42.49,55.0,57.2,1006.0,33.0,,,16.11,270.0,90.0,US,1588844800.0,1588896607.0,,16093.0,1.0,5681.0,24.16,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885211.0,-9000.0,6167817.0,Torbay,200,-52.73,47.67,46.36,39.38,44.6,48.0,1005.0,65.0,,,6.93,140.0,75.0,CA,1588838615.0,1588891877.0,,24140.0,1.0,998.0,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,1588885424.0,-14400.0,3893629.0,Coquimbo,200,-71.34,-29.95,60.8,58.62,60.8,60.8,1015.0,77.0,,,5.82,230.0,40.0,CL,1588850303.0,1588889122.0,,10000.0,1.0,8514.0,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885505.0,3600.0,2315026.0,Kasongo-Lunda,200,16.82,-6.47,73.13,77.4,73.13,73.13,1012.0,73.0,1012.0,959.0,1.01,158.0,26.0,CD,1588827220.0,1588869889.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885505.0,36000.0,2094342.0,Kavieng,200,150.8,-2.57,82.85,88.52,82.85,82.85,1009.0,73.0,1009.0,1008.0,6.58,92.0,0.0,PG,1588881179.0,1588924416.0,,,,,,,
0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,1588885506.0,7200.0,777682.0,Skjervøy,200,20.97,70.03,37.45,19.74,37.45,37.45,1006.0,78.0,1006.0,1006.0,24.9,281.0,100.0,NO,1588811111.0,1588884006.0,,,,,,,0.29
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885506.0,3600.0,2446796.0,Bilma,200,12.92,18.69,84.85,77.54,84.85,84.85,1010.0,13.0,1010.0,970.0,5.77,30.0,0.0,NE,1588826250.0,1588872730.0,,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885506.0,43200.0,2110227.0,Butaritari,200,172.79,3.07,83.17,88.45,83.17,83.17,1011.0,78.0,1011.0,1010.0,9.62,105.0,100.0,KI,1588875485.0,1588919556.0,,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885506.0,-14400.0,3894426.0,Coyhaique,200,-72.07,-45.58,59.0,56.17,59.0,59.0,1009.0,82.0,,,6.93,30.0,90.0,CL,1588852337.0,1588887437.0,,10000.0,1.0,8491.0,,,
0,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",stations,1588885226.0,25200.0,1214488.0,Meulaboh,200,96.13,4.14,75.02,84.04,75.02,75.02,1009.0,96.0,1009.0,1008.0,1.14,22.0,100.0,ID,1588893802.0,1588938034.0,,,,,,5.54,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885507.0,16200.0,134601.0,Fareydūnshahr,200,50.12,32.94,41.83,35.06,41.83,41.83,1016.0,62.0,1016.0,751.0,5.1,230.0,0.0,IR,1588902333.0,1588951587.0,,,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885507.0,32400.0,1626542.0,Sorong,200,131.25,-0.88,79.41,84.56,79.41,79.41,1009.0,85.0,1009.0,1009.0,8.72,142.0,46.0,ID,1588885746.0,1588929233.0,,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885491.0,-10800.0,3385736.0,Upanema,200,-37.26,-5.64,84.2,91.2,84.2,84.2,1010.0,79.0,,,8.05,30.0,75.0,BR,1588840138.0,1588882928.0,,10000.0,1.0,8395.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588885508.0,10800.0,58933.0,Garoowe,200,48.48,8.41,81.03,82.45,81.03,81.03,1012.0,69.0,1012.0,960.0,10.92,142.0,16.0,SO,1588904914.0,1588949794.0,,,,,,0.15,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885508.0,7200.0,1006984.0,East London,200,27.91,-33.02,66.81,63.12,66.81,66.81,1021.0,77.0,1021.0,1017.0,11.95,40.0,100.0,ZA,1588826777.0,1588865009.0,,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885326.0,0.0,2381972.0,Adrar,200,-10.07,20.5,96.1,88.41,96.1,96.1,1008.0,15.0,1008.0,966.0,10.02,223.0,89.0,MR,1588831613.0,1588878402.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885226.0,10800.0,546105.0,Nikolskoye,200,30.79,59.7,40.69,34.81,39.0,42.01,1009.0,75.0,,,4.47,280.0,0.0,RU,1588901834.0,1588961364.0,,10000.0,1.0,8926.0,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,1588885509.0,-21600.0,3652764.0,Puerto Ayora,200,-90.35,-0.74,82.83,84.18,81.0,86.0,1010.0,66.0,,,11.41,90.0,20.0,EC,1588852520.0,1588896028.0,,10000.0,1.0,8521.0,,,
0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,1588885509.0,36000.0,2028164.0,Deputatsky,200,139.9,69.3,23.13,13.5,23.13,23.13,1012.0,99.0,1012.0,941.0,8.72,91.0,100.0,RU,1588869645.0,1588941182.0,,,,,,,0.15
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885509.0,25200.0,1640660.0,Gondanglegi,200,112.01,-7.75,77.29,80.89,77.29,77.29,1009.0,87.0,1009.0,1002.0,10.09,200.0,52.0,ID,1588890873.0,1588933341.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885509.0,36000.0,2090021.0,Namatanai,200,152.43,-3.67,81.0,87.42,81.0,81.0,1010.0,75.0,1010.0,1004.0,4.29,96.0,0.0,PG,1588880869.0,1588923944.0,,,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885510.0,0.0,3372707.0,Ribeira Grande,200,-28.7,38.52,64.4,57.63,64.4,64.4,1012.0,88.0,,,18.34,270.0,40.0,PT,1588834231.0,1588884727.0,,10000.0,1.0,6883.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885215.0,-25200.0,5563397.0,Eureka,200,-124.16,40.8,67.86,64.58,66.99,69.01,1017.0,53.0,,,5.99,280.0,66.0,US,1588856821.0,1588907956.0,,,3.0,2007742.0,11.99,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885358.0,-7200.0,3423146.0,Ilulissat,200,-51.1,69.22,30.2,17.31,30.2,30.2,1028.0,63.0,,,13.87,350.0,5.0,GL,1588829351.0,1588900359.0,,10000.0,1.0,165.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885511.0,39600.0,2126199.0,Cherskiy,200,161.3,68.75,32.34,27.5,32.34,32.34,1017.0,92.0,1017.0,1017.0,1.81,136.0,6.0,RU,1588865151.0,1588935405.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885353.0,32400.0,2128975.0,Nemuro,200,145.57,43.32,39.72,31.77,39.72,39.72,1016.0,76.0,1016.0,1014.0,7.99,272.0,0.0,JP,1588878104.0,1588930002.0,,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588884770.0,-18000.0,6165406.0,Thompson,200,-97.86,55.74,30.2,19.96,30.2,30.2,1031.0,63.0,,,9.17,10.0,75.0,CA,1588847651.0,1588904502.0,,24140.0,1.0,935.0,17.22,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885207.0,-14400.0,5924351.0,Clyde River,200,-68.59,70.47,19.4,10.49,19.4,19.4,1033.0,73.0,,,5.82,130.0,5.0,CA,1588831832.0,1588906273.0,,40233.0,1.0,776.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885512.0,7200.0,3354071.0,Oranjemund,200,16.43,-28.55,65.08,60.22,65.08,65.08,1019.0,47.0,1019.0,1016.0,6.29,205.0,77.0,NA,1588829096.0,1588868200.0,,,,,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885512.0,-7200.0,3424607.0,Tasiilaq,200,-37.64,65.61,39.2,25.54,39.2,39.2,1023.0,41.0,,,14.99,80.0,9.0,GL,1588829173.0,1588894076.0,,,1.0,81.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885512.0,19800.0,1261696.0,Naugachhia,200,87.1,25.4,83.91,80.83,83.91,83.91,1004.0,30.0,1004.0,1000.0,5.19,113.0,0.0,IN,1588894229.0,1588941941.0,,,,,,,
